"tourney_name","surface","tourney_level","match_num","winner_id","winner_name","winner_ioc","winner_age","loser_id","loser_name","loser_ioc","loser_age"
"Auckland","Hard","A",1,103752,"Simon Greul","GER",28.7474332649,103893,"Paolo Lorenzi","ITA",28.0739219713
"Auckland","Hard","A",2,104545,"John Isner","USA",24.7118412047,104198,"Guillermo Garcia Lopez","ESP",26.6064339493
"Auckland","Hard","A",3,104338,"Juan Monaco","ARG",25.787816564,104547,"Horacio Zeballos","ARG",24.7091033539
"Auckland","Hard","A",4,103967,"Michael Lammer","SUI",27.8001368925,105554,"Daniel Evans","GBR",19.6386036961
"Auckland","Hard","A",5,104907,"Jose Rubin Statham","NZL",22.7159479808,104368,"Daniel King Turner","NZL",25.659137577
"Auckland","Hard","A",6,103656,"Albert Montanes","ESP",29.1252566735,105084,"James Lemke","AUS",21.9630390144
"Auckland","Hard","A",7,104259,"Philipp Kohlschreiber","GER",26.2395619439,105438,"Inigo Cervantes Huegun","ESP",20.1149897331
"Auckland","Hard","A",8,105064,"Thomaz Bellucci","BRA",22.0342231348,103843,"Marco Chiudinelli","SUI",28.3367556468
"Auckland","Hard","A",9,102967,"Marc Gicquel","FRA",32.7857631759,103694,"Olivier Rochus","BEL",28.9801505818
"Auckland","Hard","A",10,103781,"Jurgen Melzer","AUT",28.6406570842,104926,"Fabio Fognini","ITA",22.636550308
"Auckland","Hard","A",11,103206,"Sebastien Grosjean","FRA",31.6221765914,104252,"Florian Mayer","GER",26.2696783025
"Auckland","Hard","A",12,103096,"Arnaud Clement","FRA",32.0684462697,104871,"Jeremy Chardy","FRA",22.9130732375
"Auckland","Hard","A",13,103990,"Tommy Robredo","ESP",27.6988364134,103752,"Simon Greul","GER",28.7474332649
"Auckland","Hard","A",14,104545,"John Isner","USA",24.7118412047,104338,"Juan Monaco","ARG",25.787816564
"Auckland","Hard","A",15,103967,"Michael Lammer","SUI",27.8001368925,103507,"Juan Carlos Ferrero","ESP",29.9137577002
"Auckland","Hard","A",16,103656,"Albert Montanes","ESP",29.1252566735,104907,"Jose Rubin Statham","NZL",22.7159479808
"Auckland","Hard","A",17,104259,"Philipp Kohlschreiber","GER",26.2395619439,105064,"Thomaz Bellucci","BRA",22.0342231348
"Auckland","Hard","A",18,102967,"Marc Gicquel","FRA",32.7857631759,104597,"Nicolas Almagro","ESP",24.3915126626
"Auckland","Hard","A",19,103781,"Jurgen Melzer","AUT",28.6406570842,103206,"Sebastien Grosjean","FRA",31.6221765914
"Auckland","Hard","A",20,103096,"Arnaud Clement","FRA",32.0684462697,103970,"David Ferrer","ESP",27.7782340862
"Auckland","Hard","A",21,104545,"John Isner","USA",24.7118412047,103990,"Tommy Robredo","ESP",27.6988364134
"Auckland","Hard","A",22,103656,"Albert Montanes","ESP",29.1252566735,103967,"Michael Lammer","SUI",27.8001368925
"Auckland","Hard","A",23,104259,"Philipp Kohlschreiber","GER",26.2395619439,102967,"Marc Gicquel","FRA",32.7857631759
"Auckland","Hard","A",24,103096,"Arnaud Clement","FRA",32.0684462697,103781,"Jurgen Melzer","AUT",28.6406570842
"Auckland","Hard","A",25,104545,"John Isner","USA",24.7118412047,103656,"Albert Montanes","ESP",29.1252566735
"Auckland","Hard","A",26,103096,"Arnaud Clement","FRA",32.0684462697,104259,"Philipp Kohlschreiber","GER",26.2395619439
"Auckland","Hard","A",27,104545,"John Isner","USA",24.7118412047,103096,"Arnaud Clement","FRA",32.0684462697
"Munich","Clay","A",1,105227,"Marin Cilic","CRO",21.5934291581,103582,"Michael Berrer","GER",29.8370978782
"Munich","Clay","A",2,103752,"Simon Greul","GER",29.054072553,103017,"Nicolas Kiefer","GER",32.8268309377
"Munich","Clay","A",3,104731,"Kevin Anderson","RSA",23.9589322382,104999,"Mischa Zverev","GER",22.6967830253
"Munich","Clay","A",4,104597,"Nicolas Almagro","ESP",24.6981519507,104019,"Kristof Vliegen","BEL",27.8631074606
"Munich","Clay","A",5,104259,"Philipp Kohlschreiber","GER",26.546201232,104978,"Daniel Brands","GER",22.7953456537
"Munich","Clay","A",6,103490,"Santiago Ventura","ESP",30.3244353183,105238,"Alexandr Dolgopolov","UKR",21.4839151266
"Munich","Clay","A",7,103843,"Marco Chiudinelli","SUI",28.643394935,103693,"Thierry Ascione","FRA",29.2895277207
"Munich","Clay","A",8,104571,"Marcos Baghdatis","CYP",24.8761122519,105376,"Peter Gojowczyk","GER",20.7994524298
"Munich","Clay","A",9,104332,"Philipp Petzschner","GER",26.1081451061,103898,"Julien Benneteau","FRA",28.3668720055
"Munich","Clay","A",10,104230,"Daniel Koellerer","AUT",26.7104722793,104339,"Mario Ancic","CRO",26.0917180014
"Munich","Clay","A",11,105137,"Pere Riba","ESP",22.0698151951,105041,"Lukas Lacko","SVK",22.4969199179
"Munich","Clay","A",12,104607,"Tomas Berdych","CZE",24.6242299795,105906,"Kevin Krawietz","GER",18.2724161533
"Munich","Clay","A",13,103794,"Benjamin Becker","GER",28.8788501027,103565,"Stephane Robert","FRA",29.9603011636
"Munich","Clay","A",14,104225,"Jan Hajek","CZE",26.7378507871,105098,"Alexandre Sidorenko","FRA",22.2039698836
"Munich","Clay","A",15,104676,"Andreas Beck","GER",24.2381930185,104797,"Denis Istomin","UZB",23.65229295
"Munich","Clay","A",16,104022,"Mikhail Youzhny","RUS",27.8548939083,104871,"Jeremy Chardy","FRA",23.2197125257
"Munich","Clay","A",17,105227,"Marin Cilic","CRO",21.5934291581,103752,"Simon Greul","GER",29.054072553
"Munich","Clay","A",18,104597,"Nicolas Almagro","ESP",24.6981519507,104731,"Kevin Anderson","RSA",23.9589322382
"Munich","Clay","A",19,104259,"Philipp Kohlschreiber","GER",26.546201232,103490,"Santiago Ventura","ESP",30.3244353183
"Munich","Clay","A",20,104571,"Marcos Baghdatis","CYP",24.8761122519,103843,"Marco Chiudinelli","SUI",28.643394935
"Munich","Clay","A",21,104332,"Philipp Petzschner","GER",26.1081451061,104230,"Daniel Koellerer","AUT",26.7104722793
"Munich","Clay","A",22,104607,"Tomas Berdych","CZE",24.6242299795,105137,"Pere Riba","ESP",22.0698151951
"Munich","Clay","A",23,104225,"Jan Hajek","CZE",26.7378507871,103794,"Benjamin Becker","GER",28.8788501027
"Munich","Clay","A",24,104022,"Mikhail Youzhny","RUS",27.8548939083,104676,"Andreas Beck","GER",24.2381930185
"Munich","Clay","A",25,105227,"Marin Cilic","CRO",21.5934291581,104597,"Nicolas Almagro","ESP",24.6981519507
"Munich","Clay","A",26,104571,"Marcos Baghdatis","CYP",24.8761122519,104259,"Philipp Kohlschreiber","GER",26.546201232
