"playerID","rank","points","first","last","dob","country"
104925,1,16585,"Novak","Djokovic",19870522,"SRB"
104918,2,8945,"Andy","Murray",19870515,"GBR"
103819,3,8265,"Roger","Federer",19810808,"SUI"
104527,4,6865,"Stanislas","Wawrinka",19850328,"SUI"
104745,5,5230,"Rafael","Nadal",19860603,"ESP"
104607,6,4620,"Tomas","Berdych",19850917,"CZE"
103970,7,4305,"David","Ferrer",19820402,"ESP"
105453,8,4235,"Kei","Nishikori",19891229,"JPN"
104755,9,2850,"Richard","Gasquet",19860618,"FRA"
104542,10,2635,"Jo Wilfried","Tsonga",19850417,"FRA"
104545,11,2495,"John","Isner",19850426,"USA"
104731,12,2475,"Kevin","Anderson",19860518,"RSA"
105227,13,2405,"Marin","Cilic",19880928,"CRO"
105683,14,2170,"Milos","Raonic",19901227,"CAN"
104468,15,2145,"Gilles","Simon",19841227,"FRA"
105676,16,1880,"David","Goffin",19901207,"BEL"
103852,17,1690,"Feliciano","Lopez",19810920,"ESP"
106071,18,1675,"Bernard","Tomic",19921021,"AUS"
105332,19,1633,"Benoit","Paire",19890508,"FRA"
106233,20,1600,"Dominic","Thiem",19930903,"AUT"
104926,21,1515,"Fabio","Fognini",19870524,"ITA"
104678,22,1487,"Viktor","Troicki",19860210,"SRB"
103333,23,1485,"Ivo","Karlovic",19790228,"CRO"
104792,24,1485,"Gael","Monfils",19860901,"FRA"
105138,25,1480,"Roberto","Bautista Agut",19880414,"ESP"
106058,26,1465,"Jack","Sock",19920924,"USA"
104198,27,1430,"Guillermo","Garcia Lopez",19830604,"ESP"
105777,28,1360,"Grigor","Dimitrov",19910516,"BUL"
104312,29,1360,"Andreas","Seppi",19840221,"ITA"
106401,30,1260,"Nick","Kyrgios",19950427,"AUS"
104871,31,1255,"Jeremy","Chardy",19870212,"FRA"
105449,32,1240,"Steve","Johnson",19891224,"USA"
105311,33,1191,"Joao","Sousa",19890330,"POR"
