"tourney_name","surface","tourney_level","match_num","winner_id","winner_name","winner_ioc","winner_age","loser_id","loser_name","loser_ioc","loser_age"
"Kitzbuhel","Clay","A",1,104919,"Leonardo Mayer","ARG",26.2067077344,104932,"Kenny De Schepper","FRA",26.1683778234
"Kitzbuhel","Clay","A",2,104547,"Horacio Zeballos","ARG",28.2546201232,104770,"Martin Fischer","AUT",27.022587269
"Kitzbuhel","Clay","A",3,104719,"Marcel Granollers","ESP",27.2963723477,106207,"Mate Pavic","CRO",20.0684462697
"Kitzbuhel","Clay","A",4,104198,"Guillermo Garcia Lopez","ESP",30.1519507187,105064,"Thomaz Bellucci","BRA",25.5797399042
"Kitzbuhel","Clay","A",5,104898,"Robin Haase","NED",26.3134839151,105558,"Guillaume Rufin","FRA",23.1759069131
"Kitzbuhel","Clay","A",6,104978,"Daniel Brands","GER",26.0342231348,104122,"Carlos Berlocq","ARG",30.4832306639
"Kitzbuhel","Clay","A",7,103656,"Albert Montanes","ESP",32.6707734428,104494,"Adrian Ungur","ROU",28.5065023956
"Kitzbuhel","Clay","A",8,103812,"Victor Hanescu","ROU",32.0219028063,105379,"Aljaz Bedene","SLO",24.0301163587
"Kitzbuhel","Clay","A",9,106233,"Dominic Thiem","AUT",19.9014373717,105723,"Andrey Kuznetsov","RUS",22.431211499
"Kitzbuhel","Clay","A",10,104225,"Jan Hajek","CZE",29.9767282683,105060,"Aldin Setkic","BIH",25.6043805613
"Kitzbuhel","Clay","A",11,104593,"Daniel Gimeno Traver","ESP",27.9753593429,105099,"Antonio Veic","CRO",25.4428473648
"Kitzbuhel","Clay","A",12,104890,"Andreas Haider Maurer","AUT",26.3545516769,110602,"Dennis Novak","AUT",19.9178644764
"Kitzbuhel","Clay","A",13,104919,"Leonardo Mayer","ARG",26.2067077344,104259,"Philipp Kohlschreiber","GER",29.7850787132
"Kitzbuhel","Clay","A",14,104719,"Marcel Granollers","ESP",27.2963723477,104547,"Horacio Zeballos","ARG",28.2546201232
"Kitzbuhel","Clay","A",15,104269,"Fernando Verdasco","ESP",29.7029431896,104198,"Guillermo Garcia Lopez","ESP",30.1519507187
"Kitzbuhel","Clay","A",16,104898,"Robin Haase","NED",26.3134839151,104978,"Daniel Brands","GER",26.0342231348
"Kitzbuhel","Clay","A",17,103656,"Albert Montanes","ESP",32.6707734428,103812,"Victor Hanescu","ROU",32.0219028063
"Kitzbuhel","Clay","A",18,106233,"Dominic Thiem","AUT",19.9014373717,103781,"Jurgen Melzer","AUT",32.1861738535
"Kitzbuhel","Clay","A",19,104593,"Daniel Gimeno Traver","ESP",27.9753593429,104225,"Jan Hajek","CZE",29.9767282683
"Kitzbuhel","Clay","A",20,104338,"Juan Monaco","ARG",29.3333333333,104890,"Andreas Haider Maurer","AUT",26.3545516769
"Kitzbuhel","Clay","A",21,104719,"Marcel Granollers","ESP",27.2963723477,104919,"Leonardo Mayer","ARG",26.2067077344
"Kitzbuhel","Clay","A",22,104898,"Robin Haase","NED",26.3134839151,104269,"Fernando Verdasco","ESP",29.7029431896
"Kitzbuhel","Clay","A",23,103656,"Albert Montanes","ESP",32.6707734428,106233,"Dominic Thiem","AUT",19.9014373717
"Kitzbuhel","Clay","A",24,104338,"Juan Monaco","ARG",29.3333333333,104593,"Daniel Gimeno Traver","ESP",27.9753593429
"Kitzbuhel","Clay","A",25,104719,"Marcel Granollers","ESP",27.2963723477,104898,"Robin Haase","NED",26.3134839151
"Kitzbuhel","Clay","A",26,104338,"Juan Monaco","ARG",29.3333333333,103656,"Albert Montanes","ESP",32.6707734428
"Kitzbuhel","Clay","A",27,104719,"Marcel Granollers","ESP",27.2963723477,104338,"Juan Monaco","ARG",29.3333333333
"s-Hertogenbosch","Grass","A",1,103598,"Xavier Malisse","BEL",32.9117043121,103970,"David Ferrer","ESP",31.2087611225
"s-Hertogenbosch","Grass","A",2,104229,"Yen Hsun Lu","TPE",29.8425735797,104273,"Edouard Roger Vasselin","FRA",29.5523613963
"s-Hertogenbosch","Grass","A",3,105138,"Roberto Bautista Agut","ESP",25.1745379877,104219,"Stephane Bohli","SUI",29.8973305955
"s-Hertogenbosch","Grass","A",4,104122,"Carlos Berlocq","ARG",30.3682409309,104571,"Marcos Baghdatis","CYP",28
"s-Hertogenbosch","Grass","A",5,105539,"Evgeny Donskoy","RUS",23.1074606434,104545,"John Isner","USA",28.1423682409
"s-Hertogenbosch","Grass","A",6,104898,"Robin Haase","NED",26.1984941821,104919,"Leonardo Mayer","ARG",26.0917180014
"s-Hertogenbosch","Grass","A",7,103917,"Nicolas Mahut","FRA",31.4031485284,105575,"Ricardas Berankis","LTU",22.9897330595
"s-Hertogenbosch","Grass","A",8,105723,"Andrey Kuznetsov","RUS",22.3162217659,104593,"Daniel Gimeno Traver","ESP",27.8603696099
"s-Hertogenbosch","Grass","A",9,104198,"Guillermo Garcia Lopez","ESP",30.0369609856,103812,"Victor Hanescu","ROU",31.9069130732
"s-Hertogenbosch","Grass","A",10,104978,"Daniel Brands","GER",25.9192334018,104619,"Jesse Huta Galung","NED",27.6960985626
"s-Hertogenbosch","Grass","A",11,103401,"Jan Hernych","CZE",33.9466119097,105676,"David Goffin","BEL",22.5270362765
"s-Hertogenbosch","Grass","A",12,103566,"Michael Llodra","FRA",33.0814510609,105332,"Benoit Paire","FRA",24.1095140315
"s-Hertogenbosch","Grass","A",13,104871,"Jeremy Chardy","FRA",26.3436002738,106298,"Lucas Pouille","FRA",19.3127994524
"s-Hertogenbosch","Grass","A",14,105657,"Marius Copil","ROU",22.6666666667,104297,"Rogerio Dutra Silva","BRA",29.3689253936
"s-Hertogenbosch","Grass","A",15,103893,"Paolo Lorenzi","ITA",31.5044490075,105217,"Thiemo De Bakker","NED",24.7419575633
