"playerID","rank","points","first","last","dob","country"
104925,1,12920,"Novak","Djokovic",19870522,"SRB"
103819,2,10265,"Roger","Federer",19810808,"SUI"
104918,3,8000,"Andy","Murray",19870515,"GBR"
104745,4,6690,"Rafael","Nadal",19860603,"ESP"
103970,5,6505,"David","Ferrer",19820402,"ESP"
104607,6,4680,"Tomas","Berdych",19850917,"CZE"
105223,7,4480,"Juan Martin","Del Potro",19880923,"ARG"
104542,8,3490,"Jo Wilfried","Tsonga",19850417,"FRA"
104386,9,2990,"Janko","Tipsarevic",19840622,"SRB"
104755,10,2515,"Richard","Gasquet",19860618,"FRA"
104597,11,2515,"Nicolas","Almagro",19850821,"ESP"
104338,12,2430,"Juan","Monaco",19840329,"ARG"
105683,13,2380,"Milos","Raonic",19901227,"CAN"
104545,14,2215,"John","Isner",19850426,"USA"
105227,15,2210,"Marin","Cilic",19880928,"CRO"
104468,16,2165,"Gilles","Simon",19841227,"FRA"
104527,17,1900,"Stanislas","Wawrinka",19850328,"SUI"
105238,18,1855,"Alexandr","Dolgopolov",19881107,"UKR"
105453,19,1830,"Kei","Nishikori",19891229,"JPN"
104259,20,1770,"Philipp","Kohlschreiber",19831016,"GER"
103163,21,1695,"Tommy","Haas",19780403,"GER"
105023,22,1650,"Sam","Querrey",19871007,"USA"
104312,23,1560,"Andreas","Seppi",19840221,"ITA"
104269,24,1490,"Fernando","Verdasco",19831115,"ESP"
104022,25,1335,"Mikhail","Youzhny",19820625,"RUS"
105668,26,1299,"Jerzy","Janowicz",19901113,"POL"
103888,27,1255,"Mardy","Fish",19811209,"USA"
104252,28,1215,"Florian","Mayer",19831005,"GER"
103781,29,1177,"Jurgen","Melzer",19810522,"AUT"
105373,30,1175,"Martin","Klizan",19890711,"SVK"
103285,31,1135,"Radek","Stepanek",19781127,"CZE"
104871,32,1131,"Jeremy","Chardy",19870212,"FRA"
105064,33,1112,"Thomaz","Bellucci",19871230,"BRA"
104719,34,1100,"Marcel","Granollers",19860412,"ESP"
103898,35,1075,"Julien","Benneteau",19811220,"FRA"
104571,36,1070,"Marcos","Baghdatis",19850617,"CYP"
104731,37,1065,"Kevin","Anderson",19860518,"RSA"
104678,38,1055,"Viktor","Troicki",19860210,"SRB"
104053,39,1015,"Andy","Roddick",19820830,"USA"
103852,40,1005,"Feliciano","Lopez",19810920,"ESP"
103813,41,927,"Jarkko","Nieminen",19810723,"FIN"
104665,42,915,"Pablo","Andujar",19860123,"ESP"
104797,43,897,"Denis","Istomin",19860907,"UZB"
103786,44,885,"Nikolay","Davydenko",19810602,"RUS"
104926,45,880,"Fabio","Fognini",19870524,"ITA"
105676,46,868,"David","Goffin",19901207,"BEL"
105332,47,867,"Benoit","Paire",19890508,"FRA"
105777,48,866,"Grigor","Dimitrov",19910516,"BUL"
104594,49,845,"Marinko","Matosevic",19850808,"AUS"
105077,50,830,"Albert","Ramos",19880117,"ESP"
105041,51,827,"Lukas","Lacko",19871103,"SVK"
106071,52,825,"Bernard","Tomic",19921021,"AUS"
103566,53,823,"Michael","Llodra",19800518,"FRA"
104268,54,809,"Alejandro","Falla",19831114,"COL"
104813,55,782,"Grega","Zemlja",19860929,"SLO"
104898,56,780,"Robin","Haase",19870406,"NED"
105053,57,778,"Santiago","Giraldo",19871127,"COL"
