"playerID","rank","points","first","last","dob","country"
104925,1,11360,"Novak","Djokovic",19870522,"SRB"
103819,2,9775,"Roger","Federer",19810808,"SUI"
104745,3,6835,"Rafael","Nadal",19860603,"ESP"
104527,4,5370,"Stanislas","Wawrinka",19850328,"SUI"
105453,5,5025,"Kei","Nishikori",19891229,"JPN"
104918,6,4675,"Andy","Murray",19870515,"GBR"
104607,7,4600,"Tomas","Berdych",19850917,"CZE"
105683,8,4440,"Milos","Raonic",19901227,"CAN"
105227,9,4150,"Marin","Cilic",19880928,"CRO"
103970,10,4045,"David","Ferrer",19820402,"ESP"
105777,11,3645,"Grigor","Dimitrov",19910516,"BUL"
104542,12,2740,"Jo Wilfried","Tsonga",19850417,"FRA"
105208,13,2455,"Ernests","Gulbis",19880830,"LAT"
103852,14,2130,"Feliciano","Lopez",19810920,"ESP"
105138,15,2110,"Roberto","Bautista Agut",19880414,"ESP"
104731,16,2080,"Kevin","Anderson",19860518,"RSA"
103990,17,2015,"Tommy","Robredo",19820501,"ESP"
104792,18,1900,"Gael","Monfils",19860901,"FRA"
104545,19,1890,"John","Isner",19850426,"USA"
104926,20,1790,"Fabio","Fognini",19870524,"ITA"
104468,21,1730,"Gilles","Simon",19841227,"FRA"
105676,22,1599,"David","Goffin",19901207,"BEL"
105238,23,1455,"Alexandr","Dolgopolov",19881107,"UKR"
104259,24,1415,"Philipp","Kohlschreiber",19831016,"GER"
103898,25,1365,"Julien","Benneteau",19811220,"FRA"
104755,26,1350,"Richard","Gasquet",19860618,"FRA"
103333,27,1320,"Ivo","Karlovic",19790228,"CRO"
104919,28,1299,"Leonardo","Mayer",19870515,"ARG"
104871,29,1240,"Jeremy","Chardy",19870212,"FRA"
104655,30,1222,"Pablo","Cuevas",19860101,"URU"
104586,31,1210,"Lukas","Rosol",19850724,"CZE"
105053,32,1175,"Santiago","Giraldo",19871127,"COL"
104269,33,1135,"Fernando","Verdasco",19831115,"ESP"
105373,34,1094,"Martin","Klizan",19890711,"SVK"
105023,35,1090,"Sam","Querrey",19871007,"USA"
104198,36,1040,"Guillermo","Garcia Lopez",19830604,"ESP"
105449,37,999,"Steve","Johnson",19891224,"USA"
104229,38,993,"Yen Hsun","Lu",19830814,"TPE"
106233,39,989,"Dominic","Thiem",19930903,"AUT"
103794,40,973,"Benjamin","Becker",19810616,"GER"
104665,41,950,"Pablo","Andujar",19860123,"ESP"
106058,42,934,"Jack","Sock",19920924,"USA"
105668,43,915,"Jerzy","Janowicz",19901113,"POL"
105173,44,898,"Adrian","Mannarino",19880629,"FRA"
104312,45,870,"Andreas","Seppi",19840221,"ITA"
104719,46,860,"Marcel","Granollers",19860412,"ESP"
104180,47,855,"Gilles","Muller",19830509,"LUX"
104022,48,850,"Mikhail","Youzhny",19820625,"RUS"
104797,49,850,"Denis","Istomin",19860907,"UZB"
103720,50,845,"Lleyton","Hewitt",19810224,"AUS"
105807,51,841,"Pablo","Carreno Busta",19910712,"ESP"
106401,52,830,"Nick","Kyrgios",19950427,"AUS"
105577,53,830,"Vasek","Pospisil",19900623,"CAN"
105311,54,822,"Joao","Sousa",19890330,"POR"
104620,55,810,"Simone","Bolelli",19851008,"ITA"
106071,56,797,"Bernard","Tomic",19921021,"AUS"
105385,57,796,"Donald","Young",19890723,"USA"
104660,58,781,"Sergiy","Stakhovsky",19860106,"UKR"
105526,59,781,"Jan Lennard","Struff",19900425,"GER"
105643,60,775,"Federico","Delbonis",19901005,"ARG"
106043,61,775,"Diego Sebastian","Schwartzman",19920816,"ARG"
104338,62,770,"Juan","Monaco",19840329,"ARG"
105077,63,761,"Albert","Ramos",19880117,"ESP"
103893,64,759,"Paolo","Lorenzi",19811215,"ITA"
105064,65,753,"Thomaz","Bellucci",19871230,"BRA"
106210,66,743,"Jiri","Vesely",19930710,"CZE"
104559,67,730,"Teymuraz","Gabashvili",19850523,"RUS"
103285,68,715,"Radek","Stepanek",19781127,"CZE"
105583,69,711,"Dusan","Lajovic",19900630,"SRB"
105062,70,705,"Mikhail","Kukushkin",19871226,"KAZ"
104597,71,700,"Nicolas","Almagro",19850821,"ESP"
104122,72,700,"Carlos","Berlocq",19830203,"ARG"
103813,73,693,"Jarkko","Nieminen",19810723,"FIN"
104979,74,691,"Andrey","Golubev",19870722,"KAZ"
104594,75,682,"Marinko","Matosevic",19850808,"AUS"
104291,76,676,"Malek","Jaziri",19840120,"TUN"
103163,77,675,"Tommy","Haas",19780403,"GER"
103607,78,659,"Victor","Estrella",19800802,"DOM"
105376,79,641,"Peter","Gojowczyk",19890715,"GER"
105641,80,632,"Blaz","Rola",19901005,"SLO"
105032,81,625,"Samuel","Groth",19871019,"AUS"
104890,82,621,"Andreas","Haider Maurer",19870322,"AUT"
104898,83,620,"Robin","Haase",19870406,"NED"
104997,84,619,"Igor","Sijsling",19870818,"NED"
104571,85,610,"Marcos","Baghdatis",19850617,"CYP"
105575,86,605,"Ricardas","Berankis",19900621,"LTU"
104273,87,600,"Edouard Roger","Vasselin",19831128,"FRA"
104268,88,596,"Alejandro","Falla",19831114,"COL"
104460,89,596,"Dustin","Brown",19841208,"GER"
105154,90,593,"Joao","Souza",19880527,"BRA"
105292,91,582,"Alejandro","Gonzalez",19890207,"COL"
105723,92,580,"Andrey","Kuznetsov",19910222,"RUS"
105147,93,576,"Tatsuma","Ito",19880518,"JPN"
105041,94,576,"Lukas","Lacko",19871103,"SVK"
104471,95,575,"Ivan","Dodig",19850102,"CRO"
103908,96,565,"Paul Henri","Mathieu",19820112,"FRA"
104735,97,564,"Tobias","Kamke",19860521,"GER"
104534,98,560,"Dudi","Sela",19850404,"ISR"
104424,99,559,"Go","Soeda",19840905,"JPN"
105936,100,558,"Filip","Krajinovic",19920227,"SRB"
