"tourney_name","surface","tourney_level","match_num","winner_id","winner_name","winner_ioc","winner_age","loser_id","loser_name","loser_ioc","loser_age"
"s-Hertogenbosch","Grass","A",1,103582,"Michael Berrer","GER",30.9486652977,104597,"Nicolas Almagro","ESP",25.8097193703
"s-Hertogenbosch","Grass","A",2,105053,"Santiago Giraldo","COL",23.5427789185,103188,"Michael Russell","USA",33.1170431211
"s-Hertogenbosch","Grass","A",3,104098,"Dmitry Tursunov","RUS",28.501026694,103470,"Robert Kendrick","USA",31.575633128
"s-Hertogenbosch","Grass","A",4,103917,"Nicolas Mahut","FRA",29.3908281999,105173,"Adrian Mannarino","FRA",22.9541409993
"s-Hertogenbosch","Grass","A",5,103598,"Xavier Malisse","BEL",30.8993839836,104268,"Alejandro Falla","COL",27.5783709788
"s-Hertogenbosch","Grass","A",6,104619,"Jesse Huta Galung","NED",25.6837782341,104714,"Julian Reister","GER",25.196440794
"s-Hertogenbosch","Grass","A",7,103835,"Filippo Volandri","ITA",29.7686516085,103672,"Ricardo Mello","BRA",30.4750171116
"s-Hertogenbosch","Grass","A",8,104166,"Alex Bogomolov Jr","RUS",28.1396303901,104871,"Jeremy Chardy","FRA",24.3312799452
"s-Hertogenbosch","Grass","A",9,105894,"Javier Marti","ESP",19.4195756331,104593,"Daniel Gimeno Traver","ESP",25.8480492813
"s-Hertogenbosch","Grass","A",10,104559,"Teymuraz Gabashvili","RUS",26.0561259411,104505,"Konstantin Kravchuk","RUS",26.2997946612
"s-Hertogenbosch","Grass","A",11,104890,"Andreas Haider Maurer","AUT",24.2272416153,104882,"Blaz Kavcic","SLO",24.2737850787
"s-Hertogenbosch","Grass","A",12,104471,"Ivan Dodig","CRO",26.4421629021,103812,"Victor Hanescu","ROU",29.8945927447
"s-Hertogenbosch","Grass","A",13,103813,"Jarkko Nieminen","FIN",29.8891170431,104216,"Maximo Gonzalez","ARG",27.8986995209
"s-Hertogenbosch","Grass","A",14,103823,"Denis Gremelmayr","GER",29.8234086242,104106,"Ludovic Walter","FRA",28.4380561259
"s-Hertogenbosch","Grass","A",15,104898,"Robin Haase","NED",24.1861738535,104999,"Mischa Zverev","GER",23.8083504449
"s-Hertogenbosch","Grass","A",16,104571,"Marcos Baghdatis","CYP",25.9876796715,103096,"Arnaud Clement","FRA",33.4866529774
"s-Hertogenbosch","Grass","A",17,105053,"Santiago Giraldo","COL",23.5427789185,103582,"Michael Berrer","GER",30.9486652977
"s-Hertogenbosch","Grass","A",18,104098,"Dmitry Tursunov","RUS",28.501026694,103917,"Nicolas Mahut","FRA",29.3908281999
"s-Hertogenbosch","Grass","A",19,103598,"Xavier Malisse","BEL",30.8993839836,104619,"Jesse Huta Galung","NED",25.6837782341
"s-Hertogenbosch","Grass","A",20,104166,"Alex Bogomolov Jr","RUS",28.1396303901,103835,"Filippo Volandri","ITA",29.7686516085
"s-Hertogenbosch","Grass","A",21,104559,"Teymuraz Gabashvili","RUS",26.0561259411,105894,"Javier Marti","ESP",19.4195756331
